Quantity	Time Window	Window Start (Years)	Category	Second Category	Value
Co-clustering Frequency	0-500 Years	0	Central Segment	North China	0.884
Co-clustering Frequency	0-500 Years	0	Central Segment	Northern Segment	0.998
Co-clustering Frequency	0-500 Years	0	Central Segment	Panxi and Liangshan	0.998
Co-clustering Frequency	0-500 Years	0	Central Segment	Qinghai-Tibet Plateau Core	1
Co-clustering Frequency	0-500 Years	0	Central Segment	Sichuan Basin	0.118
Co-clustering Frequency	0-500 Years	0	Central Segment	Southern Segment	0.352
Co-clustering Frequency	0-500 Years	0	Central Segment	Western Highland	1
Co-clustering Frequency	0-500 Years	0	North China	Northern Segment	0.882
Co-clustering Frequency	0-500 Years	0	North China	Panxi and Liangshan	0.882
Co-clustering Frequency	0-500 Years	0	North China	Qinghai-Tibet Plateau Core	0.884
Co-clustering Frequency	0-500 Years	0	North China	Sichuan Basin	0.002
Co-clustering Frequency	0-500 Years	0	North China	Southern Segment	0.236
Co-clustering Frequency	0-500 Years	0	North China	Western Highland	0.884
Co-clustering Frequency	0-500 Years	0	Northern Segment	Panxi and Liangshan	0.996
Co-clustering Frequency	0-500 Years	0	Northern Segment	Qinghai-Tibet Plateau Core	0.998
Co-clustering Frequency	0-500 Years	0	Northern Segment	Sichuan Basin	0.12
Co-clustering Frequency	0-500 Years	0	Northern Segment	Southern Segment	0.354
Co-clustering Frequency	0-500 Years	0	Northern Segment	Western Highland	0.998
Co-clustering Frequency	0-500 Years	0	Panxi and Liangshan	Qinghai-Tibet Plateau Core	0.998
Co-clustering Frequency	0-500 Years	0	Panxi and Liangshan	Sichuan Basin	0.116
Co-clustering Frequency	0-500 Years	0	Panxi and Liangshan	Southern Segment	0.35
Co-clustering Frequency	0-500 Years	0	Panxi and Liangshan	Western Highland	0.998
Co-clustering Frequency	0-500 Years	0	Qinghai-Tibet Plateau Core	Sichuan Basin	0.118
Co-clustering Frequency	0-500 Years	0	Qinghai-Tibet Plateau Core	Southern Segment	0.352
Co-clustering Frequency	0-500 Years	0	Qinghai-Tibet Plateau Core	Western Highland	1
Co-clustering Frequency	0-500 Years	0	Sichuan Basin	Southern Segment	0.766
Co-clustering Frequency	0-500 Years	0	Sichuan Basin	Western Highland	0.118
Co-clustering Frequency	0-500 Years	0	Southern Segment	Western Highland	0.352
Co-clustering Frequency	500-1000 Years	500	Central Segment	North China	0.76
Co-clustering Frequency	500-1000 Years	500	Central Segment	Northern Segment	0.686
Co-clustering Frequency	500-1000 Years	500	Central Segment	Panxi and Liangshan	0.944
Co-clustering Frequency	500-1000 Years	500	Central Segment	Qinghai-Tibet Plateau Core	0.92
Co-clustering Frequency	500-1000 Years	500	Central Segment	Sichuan Basin	0.244
Co-clustering Frequency	500-1000 Years	500	Central Segment	Southern Segment	0.546
Co-clustering Frequency	500-1000 Years	500	Central Segment	Western Highland	0.946
Co-clustering Frequency	500-1000 Years	500	North China	Northern Segment	0.522
Co-clustering Frequency	500-1000 Years	500	North China	Panxi and Liangshan	0.74
Co-clustering Frequency	500-1000 Years	500	North China	Qinghai-Tibet Plateau Core	0.736
Co-clustering Frequency	500-1000 Years	500	North China	Sichuan Basin	0.076
Co-clustering Frequency	500-1000 Years	500	North China	Southern Segment	0.378
Co-clustering Frequency	500-1000 Years	500	North China	Western Highland	0.75
Co-clustering Frequency	500-1000 Years	500	Northern Segment	Panxi and Liangshan	0.674
Co-clustering Frequency	500-1000 Years	500	Northern Segment	Qinghai-Tibet Plateau Core	0.766
Co-clustering Frequency	500-1000 Years	500	Northern Segment	Sichuan Basin	0.546
Co-clustering Frequency	500-1000 Years	500	Northern Segment	Southern Segment	0.832
Co-clustering Frequency	500-1000 Years	500	Northern Segment	Western Highland	0.736
Co-clustering Frequency	500-1000 Years	500	Panxi and Liangshan	Qinghai-Tibet Plateau Core	0.908
Co-clustering Frequency	500-1000 Years	500	Panxi and Liangshan	Sichuan Basin	0.232
Co-clustering Frequency	500-1000 Years	500	Panxi and Liangshan	Southern Segment	0.534
Co-clustering Frequency	500-1000 Years	500	Panxi and Liangshan	Western Highland	0.934
Co-clustering Frequency	500-1000 Years	500	Qinghai-Tibet Plateau Core	Sichuan Basin	0.324
Co-clustering Frequency	500-1000 Years	500	Qinghai-Tibet Plateau Core	Southern Segment	0.626
Co-clustering Frequency	500-1000 Years	500	Qinghai-Tibet Plateau Core	Western Highland	0.938
Co-clustering Frequency	500-1000 Years	500	Sichuan Basin	Southern Segment	0.698
Co-clustering Frequency	500-1000 Years	500	Sichuan Basin	Western Highland	0.294
Co-clustering Frequency	500-1000 Years	500	Southern Segment	Western Highland	0.596
Co-clustering Frequency	1000-1500 Years	1000	Central Segment	North China	0.552
Co-clustering Frequency	1000-1500 Years	1000	Central Segment	Northern Segment	0.776
Co-clustering Frequency	1000-1500 Years	1000	Central Segment	Panxi and Liangshan	0.792
Co-clustering Frequency	1000-1500 Years	1000	Central Segment	Qinghai-Tibet Plateau Core	0.802
Co-clustering Frequency	1000-1500 Years	1000	Central Segment	Sichuan Basin	0.468
Co-clustering Frequency	1000-1500 Years	1000	Central Segment	Southern Segment	0.676
Co-clustering Frequency	1000-1500 Years	1000	Central Segment	Western Highland	0.8
Co-clustering Frequency	1000-1500 Years	1000	North China	Northern Segment	0.72
Co-clustering Frequency	1000-1500 Years	1000	North China	Panxi and Liangshan	0.684
Co-clustering Frequency	1000-1500 Years	1000	North China	Qinghai-Tibet Plateau Core	0.742
Co-clustering Frequency	1000-1500 Years	1000	North China	Sichuan Basin	0.104
Co-clustering Frequency	1000-1500 Years	1000	North China	Southern Segment	0.352
Co-clustering Frequency	1000-1500 Years	1000	North China	Western Highland	0.74
Co-clustering Frequency	1000-1500 Years	1000	Northern Segment	Panxi and Liangshan	0.916
Co-clustering Frequency	1000-1500 Years	1000	Northern Segment	Qinghai-Tibet Plateau Core	0.974
Co-clustering Frequency	1000-1500 Years	1000	Northern Segment	Sichuan Basin	0.316
Co-clustering Frequency	1000-1500 Years	1000	Northern Segment	Southern Segment	0.564
Co-clustering Frequency	1000-1500 Years	1000	Northern Segment	Western Highland	0.972
Co-clustering Frequency	1000-1500 Years	1000	Panxi and Liangshan	Qinghai-Tibet Plateau Core	0.942
Co-clustering Frequency	1000-1500 Years	1000	Panxi and Liangshan	Sichuan Basin	0.336
Co-clustering Frequency	1000-1500 Years	1000	Panxi and Liangshan	Southern Segment	0.58
Co-clustering Frequency	1000-1500 Years	1000	Panxi and Liangshan	Western Highland	0.94
Co-clustering Frequency	1000-1500 Years	1000	Qinghai-Tibet Plateau Core	Sichuan Basin	0.342
Co-clustering Frequency	1000-1500 Years	1000	Qinghai-Tibet Plateau Core	Southern Segment	0.59
Co-clustering Frequency	1000-1500 Years	1000	Qinghai-Tibet Plateau Core	Western Highland	0.998
Co-clustering Frequency	1000-1500 Years	1000	Sichuan Basin	Southern Segment	0.752
Co-clustering Frequency	1000-1500 Years	1000	Sichuan Basin	Western Highland	0.34
Co-clustering Frequency	1000-1500 Years	1000	Southern Segment	Western Highland	0.588
Co-clustering Frequency	1500-2000 Years	1500	Central Segment	North China	0.992
Co-clustering Frequency	1500-2000 Years	1500	Central Segment	Northern Segment	0.992
Co-clustering Frequency	1500-2000 Years	1500	Central Segment	Panxi and Liangshan	0.99
Co-clustering Frequency	1500-2000 Years	1500	Central Segment	Qinghai-Tibet Plateau Core	0.992
Co-clustering Frequency	1500-2000 Years	1500	Central Segment	Sichuan Basin	0.008
Co-clustering Frequency	1500-2000 Years	1500	Central Segment	Southern Segment	0.868
Co-clustering Frequency	1500-2000 Years	1500	Central Segment	Western Highland	0.986
Co-clustering Frequency	1500-2000 Years	1500	North China	Northern Segment	0.984
Co-clustering Frequency	1500-2000 Years	1500	North China	Panxi and Liangshan	0.982
Co-clustering Frequency	1500-2000 Years	1500	North China	Qinghai-Tibet Plateau Core	0.984
Co-clustering Frequency	1500-2000 Years	1500	North China	Sichuan Basin	0
Co-clustering Frequency	1500-2000 Years	1500	North China	Southern Segment	0.86
Co-clustering Frequency	1500-2000 Years	1500	North China	Western Highland	0.978
Co-clustering Frequency	1500-2000 Years	1500	Northern Segment	Panxi and Liangshan	0.982
Co-clustering Frequency	1500-2000 Years	1500	Northern Segment	Qinghai-Tibet Plateau Core	0.996
Co-clustering Frequency	1500-2000 Years	1500	Northern Segment	Sichuan Basin	0.016
Co-clustering Frequency	1500-2000 Years	1500	Northern Segment	Southern Segment	0.872
Co-clustering Frequency	1500-2000 Years	1500	Northern Segment	Western Highland	0.99
Co-clustering Frequency	1500-2000 Years	1500	Panxi and Liangshan	Qinghai-Tibet Plateau Core	0.982
Co-clustering Frequency	1500-2000 Years	1500	Panxi and Liangshan	Sichuan Basin	0.018
Co-clustering Frequency	1500-2000 Years	1500	Panxi and Liangshan	Southern Segment	0.878
Co-clustering Frequency	1500-2000 Years	1500	Panxi and Liangshan	Western Highland	0.976
Co-clustering Frequency	1500-2000 Years	1500	Qinghai-Tibet Plateau Core	Sichuan Basin	0.016
Co-clustering Frequency	1500-2000 Years	1500	Qinghai-Tibet Plateau Core	Southern Segment	0.868
Co-clustering Frequency	1500-2000 Years	1500	Qinghai-Tibet Plateau Core	Western Highland	0.99
Co-clustering Frequency	1500-2000 Years	1500	Sichuan Basin	Southern Segment	0.14
Co-clustering Frequency	1500-2000 Years	1500	Sichuan Basin	Western Highland	0.022
Co-clustering Frequency	1500-2000 Years	1500	Southern Segment	Western Highland	0.87
Co-clustering Frequency	2000-2500 Years	2000	Central Segment	North China	0.126
Co-clustering Frequency	2000-2500 Years	2000	Central Segment	Northern Segment	0.098
Co-clustering Frequency	2000-2500 Years	2000	Central Segment	Panxi and Liangshan	0.808
Co-clustering Frequency	2000-2500 Years	2000	Central Segment	Qinghai-Tibet Plateau Core	0.206
Co-clustering Frequency	2000-2500 Years	2000	Central Segment	Sichuan Basin	0.174
Co-clustering Frequency	2000-2500 Years	2000	Central Segment	Southern Segment	0.084
Co-clustering Frequency	2000-2500 Years	2000	Central Segment	Western Highland	0.12
Co-clustering Frequency	2000-2500 Years	2000	North China	Northern Segment	0.626
Co-clustering Frequency	2000-2500 Years	2000	North China	Panxi and Liangshan	0.104
Co-clustering Frequency	2000-2500 Years	2000	North China	Qinghai-Tibet Plateau Core	0.43
Co-clustering Frequency	2000-2500 Years	2000	North China	Sichuan Basin	0.074
Co-clustering Frequency	2000-2500 Years	2000	North China	Southern Segment	0
Co-clustering Frequency	2000-2500 Years	2000	North China	Western Highland	0.47
Co-clustering Frequency	2000-2500 Years	2000	Northern Segment	Panxi and Liangshan	0.086
Co-clustering Frequency	2000-2500 Years	2000	Northern Segment	Qinghai-Tibet Plateau Core	0.574
Co-clustering Frequency	2000-2500 Years	2000	Northern Segment	Sichuan Basin	0.11
Co-clustering Frequency	2000-2500 Years	2000	Northern Segment	Southern Segment	0
Co-clustering Frequency	2000-2500 Years	2000	Northern Segment	Western Highland	0.618
Co-clustering Frequency	2000-2500 Years	2000	Panxi and Liangshan	Qinghai-Tibet Plateau Core	0.232
Co-clustering Frequency	2000-2500 Years	2000	Panxi and Liangshan	Sichuan Basin	0.18
Co-clustering Frequency	2000-2500 Years	2000	Panxi and Liangshan	Southern Segment	0.028
Co-clustering Frequency	2000-2500 Years	2000	Panxi and Liangshan	Western Highland	0.11
Co-clustering Frequency	2000-2500 Years	2000	Qinghai-Tibet Plateau Core	Sichuan Basin	0.112
Co-clustering Frequency	2000-2500 Years	2000	Qinghai-Tibet Plateau Core	Southern Segment	0.004
Co-clustering Frequency	2000-2500 Years	2000	Qinghai-Tibet Plateau Core	Western Highland	0.638
Co-clustering Frequency	2000-2500 Years	2000	Sichuan Basin	Southern Segment	0.17
